No,Taxon code,Note,
3,alcebos,higher (broader) taxonomic categories,all these taxa should be omitted from the analysis
5,bisobos,,
6,bisopri,,
7,boscerv,,
11,boviind,,
13,caniind,,
24,carinds,,
25,carnind,,
27,cervind,,
28,cervspe,,
39,equuspl,,
45,felinds,,
54,inseind,,
55,lagoind,,
65,mamindl,,
66,mamindm,,
67,maminds,,
68,mammind,,
77,mustind,,
83,ovcapcap,,
84,ovicapwd,,
85,ovimcapa,,
90,ovisspe,,
96,rumindb,,
97,ruminde,,
98,rumindm,,
99,ruminds,,
108,unguind,,
29,citecit,rodents and bats,
30,citesus,,
51,gerbspe,,
101,spalleu,,
102,spalspe,,
103,spercit,,
104,sperspe,,
103,spercit,,
104,sperspe,,
53,homosap,human,
